filepath,label
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0162.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0469.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0119.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0300.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0861.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0338.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0037.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0318.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0511.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0487.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0068.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0398.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0249.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0505.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0421.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0576.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0157.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0123.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0936.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0974.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0012.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0102.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0435.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0257.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0257.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0814.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0123.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0824.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0346.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0881.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0738.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0928.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0723.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0733.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0386.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0879.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0292.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0466.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0022.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0864.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0620.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0486.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0078.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0361.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0877.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0363.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0375.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0501.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0033.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0844.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0997.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0774.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0430.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0805.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0052.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0735.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0536.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0572.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0918.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0948.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0149.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0536.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0798.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0477.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0510.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0526.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0225.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0700.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0361.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0790.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0589.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0427.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0659.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0045.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0814.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0973.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0968.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0117.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0255.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0688.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0818.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0829.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0560.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0316.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0920.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0761.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0430.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0743.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0747.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0699.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0955.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0431.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0638.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0778.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0627.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0572.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0105.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0095.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0530.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0557.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0244.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0080.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0155.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0239.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0118.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0594.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0114.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0910.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0906.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0676.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0743.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0424.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0409.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0186.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0642.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0112.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0480.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0208.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0981.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0610.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0316.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0018.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0110.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0180.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0881.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0546.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0500.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0254.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0708.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0039.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0021.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0204.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0348.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0448.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0915.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0391.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0492.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0146.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0006.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0538.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0507.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0464.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0122.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0800.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0344.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0704.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0719.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0243.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0008.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0355.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0108.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0510.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0856.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0034.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0755.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0208.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0525.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0411.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0947.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0484.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0265.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0921.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0945.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0698.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0733.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0281.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0898.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0174.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0667.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0440.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0391.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0598.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0671.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0286.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0369.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0099.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0128.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0177.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0491.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0621.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0275.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0499.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0436.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0718.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0237.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0468.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0066.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0886.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0820.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0691.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0196.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0438.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0546.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0496.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0490.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0887.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0208.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0959.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0164.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0956.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0280.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0316.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0946.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0107.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0395.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0431.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0924.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0553.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0006.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0343.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0690.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0869.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0365.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0977.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0799.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0333.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0580.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0605.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0357.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0706.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0192.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0029.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0955.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0328.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0976.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0259.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0033.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0198.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0383.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0649.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0203.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0143.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0809.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0326.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0231.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0423.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0780.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0596.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0540.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0288.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0540.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0161.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0655.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0437.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0493.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0646.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0547.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0913.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0434.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0230.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0171.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0869.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0786.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0797.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0108.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0004.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0408.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0963.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0621.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0509.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0204.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0541.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0953.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0869.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0152.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0265.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0685.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0317.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0898.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0894.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0523.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0444.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0305.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0012.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0430.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0302.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0955.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0259.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0847.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0704.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0991.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0689.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0685.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0057.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0691.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0324.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0108.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0530.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0186.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0129.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0907.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0591.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0067.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0427.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0229.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0619.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0847.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0552.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0188.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0757.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0853.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0452.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0078.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0880.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0918.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0915.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0252.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0147.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0533.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0279.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0628.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0326.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0703.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0082.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0322.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0850.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0265.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0810.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0522.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0110.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0502.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0296.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0967.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0823.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0449.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0934.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0844.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0395.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0515.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0510.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0353.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0224.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0075.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0420.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0646.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0477.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0562.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0129.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0280.npy,4
