filepath,speaker_id,class_label
C:\STREAMSENSE\data\raw\yes\0132a06d_nohash_3.wav,7,0
C:\STREAMSENSE\data\raw\yes\0132a06d_nohash_4.wav,7,0
C:\STREAMSENSE\data\raw\no\0132a06d_nohash_0.wav,7,1
C:\STREAMSENSE\data\raw\no\0132a06d_nohash_1.wav,7,1
C:\STREAMSENSE\data\raw\no\0132a06d_nohash_2.wav,7,1
C:\STREAMSENSE\data\raw\no\0132a06d_nohash_3.wav,7,1
C:\STREAMSENSE\data\raw\no\0132a06d_nohash_4.wav,7,1
C:\STREAMSENSE\data\raw\up\0132a06d_nohash_0.wav,7,2
C:\STREAMSENSE\data\raw\up\0132a06d_nohash_1.wav,7,2
C:\STREAMSENSE\data\raw\up\0132a06d_nohash_2.wav,7,2
C:\STREAMSENSE\data\raw\up\0132a06d_nohash_3.wav,7,2
C:\STREAMSENSE\data\raw\up\0132a06d_nohash_4.wav,7,2
C:\STREAMSENSE\data\raw\down\0132a06d_nohash_0.wav,7,3
C:\STREAMSENSE\data\raw\down\0132a06d_nohash_1.wav,7,3
C:\STREAMSENSE\data\raw\down\0132a06d_nohash_2.wav,7,3
C:\STREAMSENSE\data\raw\down\0132a06d_nohash_3.wav,7,3
C:\STREAMSENSE\data\raw\down\0132a06d_nohash_4.wav,7,3
C:\STREAMSENSE\data\raw\left\0132a06d_nohash_0.wav,7,4
C:\STREAMSENSE\data\raw\left\0132a06d_nohash_1.wav,7,4
C:\STREAMSENSE\data\raw\left\0132a06d_nohash_2.wav,7,4
C:\STREAMSENSE\data\raw\left\0132a06d_nohash_3.wav,7,4
C:\STREAMSENSE\data\raw\left\0132a06d_nohash_4.wav,7,4
C:\STREAMSENSE\data\raw\right\0132a06d_nohash_0.wav,7,5
C:\STREAMSENSE\data\raw\right\0132a06d_nohash_1.wav,7,5
C:\STREAMSENSE\data\raw\right\0132a06d_nohash_2.wav,7,5
C:\STREAMSENSE\data\raw\right\0132a06d_nohash_3.wav,7,5
C:\STREAMSENSE\data\raw\on\0132a06d_nohash_0.wav,7,6
C:\STREAMSENSE\data\raw\on\0132a06d_nohash_1.wav,7,6
C:\STREAMSENSE\data\raw\on\0132a06d_nohash_2.wav,7,6
C:\STREAMSENSE\data\raw\on\0132a06d_nohash_3.wav,7,6
C:\STREAMSENSE\data\raw\on\0132a06d_nohash_4.wav,7,6
C:\STREAMSENSE\data\raw\off\0132a06d_nohash_0.wav,7,7
C:\STREAMSENSE\data\raw\off\0132a06d_nohash_1.wav,7,7
C:\STREAMSENSE\data\raw\off\0132a06d_nohash_2.wav,7,7
C:\STREAMSENSE\data\raw\off\0132a06d_nohash_3.wav,7,7
C:\STREAMSENSE\data\raw\off\0132a06d_nohash_4.wav,7,7
C:\STREAMSENSE\data\raw\stop\0132a06d_nohash_0.wav,7,8
C:\STREAMSENSE\data\raw\stop\0132a06d_nohash_1.wav,7,8
C:\STREAMSENSE\data\raw\stop\0132a06d_nohash_2.wav,7,8
C:\STREAMSENSE\data\raw\stop\0132a06d_nohash_3.wav,7,8
C:\STREAMSENSE\data\raw\go\0132a06d_nohash_0.wav,7,9
C:\STREAMSENSE\data\raw\go\0132a06d_nohash_1.wav,7,9
C:\STREAMSENSE\data\raw\go\0132a06d_nohash_2.wav,7,9
C:\STREAMSENSE\data\raw\go\0132a06d_nohash_3.wav,7,9
C:\STREAMSENSE\data\raw\go\0132a06d_nohash_4.wav,7,9
C:\STREAMSENSE\data\raw\no\e1aa22e4_nohash_0.wav,2117,1
C:\STREAMSENSE\data\raw\no\e1aa22e4_nohash_1.wav,2117,1
C:\STREAMSENSE\data\raw\up\e1aa22e4_nohash_0.wav,2117,2
C:\STREAMSENSE\data\raw\off\e1aa22e4_nohash_0.wav,2117,7
C:\STREAMSENSE\data\raw\stop\e1aa22e4_nohash_0.wav,2117,8
C:\STREAMSENSE\data\raw\stop\e1aa22e4_nohash_1.wav,2117,8
C:\STREAMSENSE\data\raw\stop\e1aa22e4_nohash_2.wav,2117,8
C:\STREAMSENSE\data\raw\go\e1aa22e4_nohash_0.wav,2117,9
C:\STREAMSENSE\data\raw\left\b3327675_nohash_0.wav,1681,4
C:\STREAMSENSE\data\raw\left\b3327675_nohash_1.wav,1681,4
C:\STREAMSENSE\data\raw\right\b3327675_nohash_0.wav,1681,5
C:\STREAMSENSE\data\raw\off\b3327675_nohash_0.wav,1681,7
C:\STREAMSENSE\data\raw\stop\b3327675_nohash_0.wav,1681,8
C:\STREAMSENSE\data\raw\stop\b3327675_nohash_1.wav,1681,8
C:\STREAMSENSE\data\raw\stop\b3327675_nohash_2.wav,1681,8
C:\STREAMSENSE\data\raw\up\24ed94ab_nohash_0.wav,356,2
C:\STREAMSENSE\data\raw\down\24ed94ab_nohash_0.wav,356,3
C:\STREAMSENSE\data\raw\left\24ed94ab_nohash_0.wav,356,4
C:\STREAMSENSE\data\raw\right\24ed94ab_nohash_0.wav,356,5
C:\STREAMSENSE\data\raw\right\24ed94ab_nohash_1.wav,356,5
C:\STREAMSENSE\data\raw\right\24ed94ab_nohash_2.wav,356,5
C:\STREAMSENSE\data\raw\on\24ed94ab_nohash_0.wav,356,6
C:\STREAMSENSE\data\raw\off\24ed94ab_nohash_0.wav,356,7
C:\STREAMSENSE\data\raw\off\24ed94ab_nohash_1.wav,356,7
C:\STREAMSENSE\data\raw\stop\24ed94ab_nohash_0.wav,356,8
C:\STREAMSENSE\data\raw\stop\24ed94ab_nohash_1.wav,356,8
C:\STREAMSENSE\data\raw\stop\24ed94ab_nohash_2.wav,356,8
C:\STREAMSENSE\data\raw\no\c33682f0_nohash_0.wav,1835,1
C:\STREAMSENSE\data\raw\up\c33682f0_nohash_0.wav,1835,2
C:\STREAMSENSE\data\raw\down\c33682f0_nohash_0.wav,1835,3
C:\STREAMSENSE\data\raw\on\c33682f0_nohash_0.wav,1835,6
C:\STREAMSENSE\data\raw\off\c33682f0_nohash_0.wav,1835,7
C:\STREAMSENSE\data\raw\stop\c33682f0_nohash_0.wav,1835,8
C:\STREAMSENSE\data\raw\stop\c33682f0_nohash_1.wav,1835,8
C:\STREAMSENSE\data\raw\go\c33682f0_nohash_0.wav,1835,9
C:\STREAMSENSE\data\raw\left\937b433e_nohash_0.wav,1371,4
C:\STREAMSENSE\data\raw\right\937b433e_nohash_0.wav,1371,5
C:\STREAMSENSE\data\raw\right\937b433e_nohash_1.wav,1371,5
C:\STREAMSENSE\data\raw\on\937b433e_nohash_0.wav,1371,6
C:\STREAMSENSE\data\raw\off\937b433e_nohash_0.wav,1371,7
C:\STREAMSENSE\data\raw\yes\f035e2ea_nohash_0.wav,2247,0
C:\STREAMSENSE\data\raw\yes\f035e2ea_nohash_1.wav,2247,0
C:\STREAMSENSE\data\raw\yes\f035e2ea_nohash_2.wav,2247,0
C:\STREAMSENSE\data\raw\yes\f035e2ea_nohash_3.wav,2247,0
C:\STREAMSENSE\data\raw\yes\f035e2ea_nohash_4.wav,2247,0
C:\STREAMSENSE\data\raw\no\f035e2ea_nohash_0.wav,2247,1
C:\STREAMSENSE\data\raw\no\f035e2ea_nohash_1.wav,2247,1
C:\STREAMSENSE\data\raw\no\f035e2ea_nohash_2.wav,2247,1
C:\STREAMSENSE\data\raw\no\f035e2ea_nohash_3.wav,2247,1
C:\STREAMSENSE\data\raw\up\f035e2ea_nohash_0.wav,2247,2
C:\STREAMSENSE\data\raw\up\f035e2ea_nohash_1.wav,2247,2
C:\STREAMSENSE\data\raw\up\f035e2ea_nohash_2.wav,2247,2
C:\STREAMSENSE\data\raw\down\f035e2ea_nohash_0.wav,2247,3
C:\STREAMSENSE\data\raw\down\f035e2ea_nohash_1.wav,2247,3
C:\STREAMSENSE\data\raw\down\f035e2ea_nohash_2.wav,2247,3
C:\STREAMSENSE\data\raw\left\f035e2ea_nohash_0.wav,2247,4
C:\STREAMSENSE\data\raw\left\f035e2ea_nohash_1.wav,2247,4
C:\STREAMSENSE\data\raw\left\f035e2ea_nohash_2.wav,2247,4
C:\STREAMSENSE\data\raw\left\f035e2ea_nohash_3.wav,2247,4
C:\STREAMSENSE\data\raw\left\f035e2ea_nohash_4.wav,2247,4
C:\STREAMSENSE\data\raw\left\f035e2ea_nohash_5.wav,2247,4
C:\STREAMSENSE\data\raw\right\f035e2ea_nohash_0.wav,2247,5
C:\STREAMSENSE\data\raw\right\f035e2ea_nohash_1.wav,2247,5
C:\STREAMSENSE\data\raw\right\f035e2ea_nohash_2.wav,2247,5
C:\STREAMSENSE\data\raw\right\f035e2ea_nohash_3.wav,2247,5
C:\STREAMSENSE\data\raw\right\f035e2ea_nohash_4.wav,2247,5
C:\STREAMSENSE\data\raw\on\f035e2ea_nohash_0.wav,2247,6
C:\STREAMSENSE\data\raw\on\f035e2ea_nohash_1.wav,2247,6
C:\STREAMSENSE\data\raw\on\f035e2ea_nohash_2.wav,2247,6
C:\STREAMSENSE\data\raw\on\f035e2ea_nohash_3.wav,2247,6
C:\STREAMSENSE\data\raw\on\f035e2ea_nohash_4.wav,2247,6
C:\STREAMSENSE\data\raw\on\f035e2ea_nohash_5.wav,2247,6
C:\STREAMSENSE\data\raw\off\f035e2ea_nohash_0.wav,2247,7
C:\STREAMSENSE\data\raw\off\f035e2ea_nohash_1.wav,2247,7
C:\STREAMSENSE\data\raw\off\f035e2ea_nohash_2.wav,2247,7
C:\STREAMSENSE\data\raw\off\f035e2ea_nohash_3.wav,2247,7
C:\STREAMSENSE\data\raw\off\f035e2ea_nohash_4.wav,2247,7
C:\STREAMSENSE\data\raw\stop\f035e2ea_nohash_0.wav,2247,8
C:\STREAMSENSE\data\raw\stop\f035e2ea_nohash_1.wav,2247,8
C:\STREAMSENSE\data\raw\stop\f035e2ea_nohash_2.wav,2247,8
C:\STREAMSENSE\data\raw\stop\f035e2ea_nohash_3.wav,2247,8
C:\STREAMSENSE\data\raw\stop\f035e2ea_nohash_4.wav,2247,8
C:\STREAMSENSE\data\raw\go\f035e2ea_nohash_0.wav,2247,9
C:\STREAMSENSE\data\raw\go\f035e2ea_nohash_1.wav,2247,9
C:\STREAMSENSE\data\raw\go\f035e2ea_nohash_2.wav,2247,9
C:\STREAMSENSE\data\raw\go\f035e2ea_nohash_3.wav,2247,9
C:\STREAMSENSE\data\raw\go\f035e2ea_nohash_4.wav,2247,9
C:\STREAMSENSE\data\raw\yes\1e412fac_nohash_0.wav,288,0
C:\STREAMSENSE\data\raw\down\1e412fac_nohash_0.wav,288,3
C:\STREAMSENSE\data\raw\down\1e412fac_nohash_1.wav,288,3
C:\STREAMSENSE\data\raw\down\1e412fac_nohash_2.wav,288,3
C:\STREAMSENSE\data\raw\left\1e412fac_nohash_0.wav,288,4
C:\STREAMSENSE\data\raw\left\1e412fac_nohash_1.wav,288,4
C:\STREAMSENSE\data\raw\on\1e412fac_nohash_0.wav,288,6
C:\STREAMSENSE\data\raw\on\1e412fac_nohash_1.wav,288,6
C:\STREAMSENSE\data\raw\off\1e412fac_nohash_0.wav,288,7
C:\STREAMSENSE\data\raw\stop\1e412fac_nohash_0.wav,288,8
C:\STREAMSENSE\data\raw\go\1e412fac_nohash_0.wav,288,9
C:\STREAMSENSE\data\raw\go\1e412fac_nohash_1.wav,288,9
C:\STREAMSENSE\data\raw\yes\4995d875_nohash_0.wav,693,0
C:\STREAMSENSE\data\raw\yes\4995d875_nohash_1.wav,693,0
C:\STREAMSENSE\data\raw\yes\4995d875_nohash_2.wav,693,0
C:\STREAMSENSE\data\raw\yes\4995d875_nohash_3.wav,693,0
C:\STREAMSENSE\data\raw\no\4995d875_nohash_0.wav,693,1
C:\STREAMSENSE\data\raw\no\4995d875_nohash_1.wav,693,1
C:\STREAMSENSE\data\raw\no\4995d875_nohash_2.wav,693,1
C:\STREAMSENSE\data\raw\no\4995d875_nohash_3.wav,693,1
C:\STREAMSENSE\data\raw\no\4995d875_nohash_4.wav,693,1
C:\STREAMSENSE\data\raw\up\4995d875_nohash_0.wav,693,2
C:\STREAMSENSE\data\raw\up\4995d875_nohash_1.wav,693,2
C:\STREAMSENSE\data\raw\up\4995d875_nohash_2.wav,693,2
C:\STREAMSENSE\data\raw\up\4995d875_nohash_3.wav,693,2
C:\STREAMSENSE\data\raw\up\4995d875_nohash_4.wav,693,2
C:\STREAMSENSE\data\raw\down\4995d875_nohash_0.wav,693,3
C:\STREAMSENSE\data\raw\down\4995d875_nohash_1.wav,693,3
C:\STREAMSENSE\data\raw\down\4995d875_nohash_2.wav,693,3
C:\STREAMSENSE\data\raw\down\4995d875_nohash_3.wav,693,3
C:\STREAMSENSE\data\raw\down\4995d875_nohash_4.wav,693,3
C:\STREAMSENSE\data\raw\left\4995d875_nohash_0.wav,693,4
C:\STREAMSENSE\data\raw\left\4995d875_nohash_1.wav,693,4
C:\STREAMSENSE\data\raw\left\4995d875_nohash_2.wav,693,4
C:\STREAMSENSE\data\raw\left\4995d875_nohash_3.wav,693,4
C:\STREAMSENSE\data\raw\right\4995d875_nohash_0.wav,693,5
C:\STREAMSENSE\data\raw\right\4995d875_nohash_1.wav,693,5
C:\STREAMSENSE\data\raw\right\4995d875_nohash_2.wav,693,5
C:\STREAMSENSE\data\raw\right\4995d875_nohash_3.wav,693,5
C:\STREAMSENSE\data\raw\on\4995d875_nohash_0.wav,693,6
C:\STREAMSENSE\data\raw\on\4995d875_nohash_1.wav,693,6
C:\STREAMSENSE\data\raw\on\4995d875_nohash_2.wav,693,6
C:\STREAMSENSE\data\raw\on\4995d875_nohash_3.wav,693,6
C:\STREAMSENSE\data\raw\on\4995d875_nohash_4.wav,693,6
C:\STREAMSENSE\data\raw\off\4995d875_nohash_0.wav,693,7
C:\STREAMSENSE\data\raw\stop\4995d875_nohash_0.wav,693,8
C:\STREAMSENSE\data\raw\stop\4995d875_nohash_1.wav,693,8
C:\STREAMSENSE\data\raw\stop\4995d875_nohash_2.wav,693,8
C:\STREAMSENSE\data\raw\go\4995d875_nohash_0.wav,693,9
C:\STREAMSENSE\data\raw\go\4995d875_nohash_1.wav,693,9
C:\STREAMSENSE\data\raw\go\4995d875_nohash_2.wav,693,9
C:\STREAMSENSE\data\raw\yes\1e02ffc5_nohash_0.wav,285,0
C:\STREAMSENSE\data\raw\yes\1e02ffc5_nohash_1.wav,285,0
C:\STREAMSENSE\data\raw\yes\1e02ffc5_nohash_2.wav,285,0
C:\STREAMSENSE\data\raw\yes\1e02ffc5_nohash_3.wav,285,0
C:\STREAMSENSE\data\raw\yes\1e02ffc5_nohash_4.wav,285,0
C:\STREAMSENSE\data\raw\no\1e02ffc5_nohash_0.wav,285,1
C:\STREAMSENSE\data\raw\no\1e02ffc5_nohash_1.wav,285,1
C:\STREAMSENSE\data\raw\no\1e02ffc5_nohash_2.wav,285,1
C:\STREAMSENSE\data\raw\no\1e02ffc5_nohash_3.wav,285,1
C:\STREAMSENSE\data\raw\no\1e02ffc5_nohash_4.wav,285,1
C:\STREAMSENSE\data\raw\up\1e02ffc5_nohash_0.wav,285,2
C:\STREAMSENSE\data\raw\up\1e02ffc5_nohash_1.wav,285,2
C:\STREAMSENSE\data\raw\up\1e02ffc5_nohash_2.wav,285,2
C:\STREAMSENSE\data\raw\up\1e02ffc5_nohash_3.wav,285,2
C:\STREAMSENSE\data\raw\up\1e02ffc5_nohash_4.wav,285,2
C:\STREAMSENSE\data\raw\down\1e02ffc5_nohash_0.wav,285,3
C:\STREAMSENSE\data\raw\down\1e02ffc5_nohash_1.wav,285,3
C:\STREAMSENSE\data\raw\down\1e02ffc5_nohash_2.wav,285,3
C:\STREAMSENSE\data\raw\down\1e02ffc5_nohash_3.wav,285,3
C:\STREAMSENSE\data\raw\down\1e02ffc5_nohash_4.wav,285,3
C:\STREAMSENSE\data\raw\left\1e02ffc5_nohash_0.wav,285,4
C:\STREAMSENSE\data\raw\left\1e02ffc5_nohash_1.wav,285,4
C:\STREAMSENSE\data\raw\left\1e02ffc5_nohash_2.wav,285,4
C:\STREAMSENSE\data\raw\left\1e02ffc5_nohash_3.wav,285,4
C:\STREAMSENSE\data\raw\left\1e02ffc5_nohash_4.wav,285,4
C:\STREAMSENSE\data\raw\right\1e02ffc5_nohash_0.wav,285,5
C:\STREAMSENSE\data\raw\right\1e02ffc5_nohash_1.wav,285,5
C:\STREAMSENSE\data\raw\right\1e02ffc5_nohash_2.wav,285,5
C:\STREAMSENSE\data\raw\right\1e02ffc5_nohash_3.wav,285,5
C:\STREAMSENSE\data\raw\on\1e02ffc5_nohash_0.wav,285,6
C:\STREAMSENSE\data\raw\on\1e02ffc5_nohash_1.wav,285,6
C:\STREAMSENSE\data\raw\on\1e02ffc5_nohash_2.wav,285,6
C:\STREAMSENSE\data\raw\off\1e02ffc5_nohash_0.wav,285,7
C:\STREAMSENSE\data\raw\off\1e02ffc5_nohash_1.wav,285,7
C:\STREAMSENSE\data\raw\off\1e02ffc5_nohash_2.wav,285,7
C:\STREAMSENSE\data\raw\stop\1e02ffc5_nohash_0.wav,285,8
C:\STREAMSENSE\data\raw\stop\1e02ffc5_nohash_1.wav,285,8
C:\STREAMSENSE\data\raw\stop\1e02ffc5_nohash_2.wav,285,8
C:\STREAMSENSE\data\raw\stop\1e02ffc5_nohash_3.wav,285,8
C:\STREAMSENSE\data\raw\stop\1e02ffc5_nohash_4.wav,285,8
C:\STREAMSENSE\data\raw\go\1e02ffc5_nohash_0.wav,285,9
C:\STREAMSENSE\data\raw\go\1e02ffc5_nohash_1.wav,285,9
C:\STREAMSENSE\data\raw\go\1e02ffc5_nohash_2.wav,285,9
C:\STREAMSENSE\data\raw\go\1e02ffc5_nohash_3.wav,285,9
C:\STREAMSENSE\data\raw\go\1e02ffc5_nohash_4.wav,285,9
C:\STREAMSENSE\data\raw\no\48463cbc_nohash_0.wav,684,1
C:\STREAMSENSE\data\raw\up\48463cbc_nohash_0.wav,684,2
C:\STREAMSENSE\data\raw\up\48463cbc_nohash_1.wav,684,2
C:\STREAMSENSE\data\raw\up\48463cbc_nohash_2.wav,684,2
C:\STREAMSENSE\data\raw\on\48463cbc_nohash_0.wav,684,6
C:\STREAMSENSE\data\raw\off\48463cbc_nohash_0.wav,684,7
C:\STREAMSENSE\data\raw\stop\48463cbc_nohash_0.wav,684,8
C:\STREAMSENSE\data\raw\stop\48463cbc_nohash_1.wav,684,8
C:\STREAMSENSE\data\raw\go\48463cbc_nohash_0.wav,684,9
C:\STREAMSENSE\data\raw\go\48463cbc_nohash_1.wav,684,9
C:\STREAMSENSE\data\raw\go\48463cbc_nohash_2.wav,684,9
C:\STREAMSENSE\data\raw\yes\1626bc5a_nohash_0.wav,191,0
C:\STREAMSENSE\data\raw\no\1626bc5a_nohash_0.wav,191,1
C:\STREAMSENSE\data\raw\no\1626bc5a_nohash_1.wav,191,1
C:\STREAMSENSE\data\raw\down\1626bc5a_nohash_0.wav,191,3
C:\STREAMSENSE\data\raw\down\1626bc5a_nohash_1.wav,191,3
C:\STREAMSENSE\data\raw\on\1626bc5a_nohash_0.wav,191,6
C:\STREAMSENSE\data\raw\on\1626bc5a_nohash_1.wav,191,6
C:\STREAMSENSE\data\raw\off\1626bc5a_nohash_0.wav,191,7
C:\STREAMSENSE\data\raw\off\1626bc5a_nohash_1.wav,191,7
C:\STREAMSENSE\data\raw\go\1626bc5a_nohash_0.wav,191,9
